URL;Тип;Заголовок;Интент;Родитель;Индексируется;Статус;Этап;Шаблон;Примечание
/rooms/dlya-magazina/;Помещение;"Натяжные потолки для магазина и салона";"натяжные потолки для магазина и салона";;да;published;;catalog-item;
/blog/kak-vybrat-material/;Статья;"Как выбрать материал натяжного потолка";информационный;;да;published;;blog-post;
/blog/chto-vhodit-v-cenu/;Статья;"Что входит в цену натяжного потолка под ключ";информационный;;да;published;;blog-post;
/blog/pvh-ili-tkan/;Статья;"ПВХ или ткань: честное сравнение";информационный;;да;published;;blog-post;
/blog/matovyj-glyancevyj-satinovyj/;Статья;"Матовый, глянцевый или сатиновый: как выбрать фактуру";информационный;;да;published;;blog-post;
/blog/kogda-ustanavlivat/;Статья;"На каком этапе ремонта устанавливать натяжной потолок";информационный;;да;published;;blog-post;
/blog/naskolko-opuskaetsya/;Статья;"Насколько опускается натяжной потолок";информационный;;да;published;;blog-post;
/blog/sroki-ustanovki/;Статья;"Сроки: сколько занимает натяжной потолок от заявки до сдачи";информационный;;да;published;;blog-post;
/blog/zapah-posle-montazha/;Статья;"Запах после монтажа: откуда берётся и когда проходит";информационный;;да;published;;blog-post;
/blog/bezopasnost-nagreva/;Статья;"Нагрев при монтаже: что убрать и чего бояться не нужно";информационный;;да;published;;blog-post;
/blog/posle-zatopleniya/;Статья;"Затопили соседи: что делать с натяжным потолком";информационный;;да;published;;blog-post;
/blog/uhod-za-polotnom/;Статья;"Как ухаживать за натяжным потолком";информационный;;да;published;;blog-post;
/blog/kak-vybrat-svetilniki/;Статья;"Как выбрать светильники и треки для натяжного потолка";информационный;;да;published;;blog-post;
/blog/skrytyj-karniz-varianty/;Статья;"Скрытый карниз: варианты, ограничения, что решить заранее";информационный;;да;published;;blog-post;
/blog/tenevoj-ili-besshelevoj/;Статья;"Теневой или бесщелевой профиль: что выбрать";информационный;;да;published;;blog-post;
/blog/primery-rascheta/;Статья;"Примеры расчёта для комнат разной площади";информационный;;да;published;;blog-post;
/moskva/okruga/;Гео-хаб;"Округа Москвы";;;да;published;;geo-hub;
/moskva/rajony/;Гео-хаб;"Районы Москвы";;;да;published;;geo-hub;
/moskovskaya-oblast/goroda/;Гео-хаб;"Города Московской области";;;да;published;;geo-hub;
/moskva/;Москва;"Натяжные потолки в Москве";"натяжные потолки в Москве";;да;published;1;geo;
/moskovskaya-oblast/;Область;"Натяжные потолки в Московской области";"натяжные потолки в Московской области";;да;published;1;geo;
/moskva/okruga/cao/;Округ;"Натяжные потолки в ЦАО";"натяжные потолки в ЦАО";moskva;да;published;1;geo;
/moskva/okruga/sao/;Округ;"Натяжные потолки в САО";"натяжные потолки в САО";moskva;да;published;1;geo;
/moskva/okruga/svao/;Округ;"Натяжные потолки в СВАО";"натяжные потолки в СВАО";moskva;да;published;1;geo;
/moskva/okruga/vao/;Округ;"Натяжные потолки в ВАО";"натяжные потолки в ВАО";moskva;да;published;1;geo;
/moskva/okruga/yuvao/;Округ;"Натяжные потолки в ЮВАО";"натяжные потолки в ЮВАО";moskva;да;published;1;geo;
/moskva/okruga/yuao/;Округ;"Натяжные потолки в ЮАО";"натяжные потолки в ЮАО";moskva;да;published;1;geo;
/moskva/okruga/yuzao/;Округ;"Натяжные потолки в ЮЗАО";"натяжные потолки в ЮЗАО";moskva;да;published;1;geo;
/moskva/okruga/zao/;Округ;"Натяжные потолки в ЗАО";"натяжные потолки в ЗАО";moskva;да;published;1;geo;
/moskva/okruga/szao/;Округ;"Натяжные потолки в СЗАО";"натяжные потолки в СЗАО";moskva;да;published;1;geo;
/moskva/okruga/zelao/;Округ;"Натяжные потолки в Зеленограде";"натяжные потолки в Зеленограде";moskva;да;published;1;geo;
/moskva/okruga/nao/;Округ;"Натяжные потолки в Новомосковском округе";"натяжные потолки в Новомосковском округе";moskva;да;published;1;geo;
/moskva/okruga/tao/;Округ;"Натяжные потолки в Троицком округе";"натяжные потолки в Троицком округе";moskva;да;published;1;geo;
/moskva/rajony/arbat/;Район;"Натяжные потолки в районе Арбат";"натяжные потолки в районе Арбат";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/basmannyj/;Район;"Натяжные потолки в районе Басманный";"натяжные потолки в районе Басманный";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/zamoskvoreche/;Район;"Натяжные потолки в районе Замоскворечье";"натяжные потолки в районе Замоскворечье";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/krasnoselskij/;Район;"Натяжные потолки в районе Красносельский";"натяжные потолки в районе Красносельский";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/meshchanskij/;Район;"Натяжные потолки в районе Мещанский";"натяжные потолки в районе Мещанский";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/presnenskij/;Район;"Натяжные потолки в районе Пресненский";"натяжные потолки в районе Пресненский";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/taganskij/;Район;"Натяжные потолки в районе Таганский";"натяжные потолки в районе Таганский";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/tverskoj/;Район;"Натяжные потолки в районе Тверской";"натяжные потолки в районе Тверской";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/hamovniki/;Район;"Натяжные потолки в районе Хамовники";"натяжные потолки в районе Хамовники";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/yakimanka/;Район;"Натяжные потолки в районе Якиманка";"натяжные потолки в районе Якиманка";cao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/aeroport/;Район;"Натяжные потолки в районе Аэропорт";"натяжные потолки в районе Аэропорт";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/begovoj/;Район;"Натяжные потолки в районе Беговой";"натяжные потолки в районе Беговой";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/beskudnikovskij/;Район;"Натяжные потолки в районе Бескудниковский";"натяжные потолки в районе Бескудниковский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/vojkovskij/;Район;"Натяжные потолки в районе Войковский";"натяжные потолки в районе Войковский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/golovinskij/;Район;"Натяжные потолки в районе Головинский";"натяжные потолки в районе Головинский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/vostochnoe-degunino/;Район;"Натяжные потолки в районе Восточное Дегунино";"натяжные потолки в районе Восточное Дегунино";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/zapadnoe-degunino/;Район;"Натяжные потолки в районе Западное Дегунино";"натяжные потолки в районе Западное Дегунино";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/dmitrovskij/;Район;"Натяжные потолки в районе Дмитровский";"натяжные потолки в районе Дмитровский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/koptevo/;Район;"Натяжные потолки в районе Коптево";"натяжные потолки в районе Коптево";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/levoberezhnyj/;Район;"Натяжные потолки в районе Левобережный";"натяжные потолки в районе Левобережный";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/molzhaninovskij/;Район;"Натяжные потолки в районе Молжаниновский";"натяжные потолки в районе Молжаниновский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/savyolovskij/;Район;"Натяжные потолки в районе Савёловский";"натяжные потолки в районе Савёловский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/sokol/;Район;"Натяжные потолки в районе Сокол";"натяжные потолки в районе Сокол";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/timiryazevskij/;Район;"Натяжные потолки в районе Тимирязевский";"натяжные потолки в районе Тимирязевский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/hovrino/;Район;"Натяжные потолки в районе Ховрино";"натяжные потолки в районе Ховрино";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/horoshyovskij/;Район;"Натяжные потолки в районе Хорошёвский";"натяжные потолки в районе Хорошёвский";sao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/alekseevskij/;Район;"Натяжные потолки в районе Алексеевский";"натяжные потолки в районе Алексеевский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/altufevskij/;Район;"Натяжные потолки в районе Алтуфьевский";"натяжные потолки в районе Алтуфьевский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/babushkinskij/;Район;"Натяжные потолки в районе Бабушкинский";"натяжные потолки в районе Бабушкинский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/bibirevo/;Район;"Натяжные потолки в районе Бибирево";"натяжные потолки в районе Бибирево";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/butyrskij/;Район;"Натяжные потолки в районе Бутырский";"натяжные потолки в районе Бутырский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/lianozovo/;Район;"Натяжные потолки в районе Лианозово";"натяжные потолки в районе Лианозово";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/losinoostrovskij/;Район;"Натяжные потолки в районе Лосиноостровский";"натяжные потолки в районе Лосиноостровский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/marfino/;Район;"Натяжные потолки в районе Марфино";"натяжные потолки в районе Марфино";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/marina-roshcha/;Район;"Натяжные потолки в районе Марьина Роща";"натяжные потолки в районе Марьина Роща";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/severnoe-medvedkovo/;Район;"Натяжные потолки в районе Северное Медведково";"натяжные потолки в районе Северное Медведково";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/yuzhnoe-medvedkovo/;Район;"Натяжные потолки в районе Южное Медведково";"натяжные потолки в районе Южное Медведково";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/ostankinskij/;Район;"Натяжные потолки в районе Останкинский";"натяжные потолки в районе Останкинский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/otradnoe/;Район;"Натяжные потолки в районе Отрадное";"натяжные потолки в районе Отрадное";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/rostokino/;Район;"Натяжные потолки в районе Ростокино";"натяжные потолки в районе Ростокино";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/svibovo/;Район;"Натяжные потолки в районе Свиблово";"натяжные потолки в районе Свиблово";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/severnyj/;Район;"Натяжные потолки в районе Северный";"натяжные потолки в районе Северный";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/yaroslavskij/;Район;"Натяжные потолки в районе Ярославский";"натяжные потолки в районе Ярославский";svao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/bogorodskoe/;Район;"Натяжные потолки в районе Богородское";"натяжные потолки в районе Богородское";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/veshnyaki/;Район;"Натяжные потолки в районе Вешняки";"натяжные потолки в районе Вешняки";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/vostochnoe-izmajlovo/;Район;"Натяжные потолки в районе Восточное Измайлово";"натяжные потолки в районе Восточное Измайлово";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/golyanovo/;Район;"Натяжные потолки в районе Гольяново";"натяжные потолки в районе Гольяново";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/ivanovskoe/;Район;"Натяжные потолки в районе Ивановское";"натяжные потолки в районе Ивановское";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/izmajlovo/;Район;"Натяжные потолки в районе Измайлово";"натяжные потолки в районе Измайлово";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/kosino-uhtomskij/;Район;"Натяжные потолки в районе Косино-Ухтомский";"натяжные потолки в районе Косино-Ухтомский";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/metrogorodok/;Район;"Натяжные потолки в районе Метрогородок";"натяжные потолки в районе Метрогородок";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/novogireevo/;Район;"Натяжные потолки в районе Новогиреево";"натяжные потолки в районе Новогиреево";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/novokosino/;Район;"Натяжные потолки в районе Новокосино";"натяжные потолки в районе Новокосино";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/perovo/;Район;"Натяжные потолки в районе Перово";"натяжные потолки в районе Перово";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/preobrazhenskoe/;Район;"Натяжные потолки в районе Преображенское";"натяжные потолки в районе Преображенское";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/severnoe-izmajlovo/;Район;"Натяжные потолки в районе Северное Измайлово";"натяжные потолки в районе Северное Измайлово";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/sokolinaya-gora/;Район;"Натяжные потолки в районе Соколиная Гора";"натяжные потолки в районе Соколиная Гора";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/sokolniki/;Район;"Натяжные потолки в районе Сокольники";"натяжные потолки в районе Сокольники";vao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/vyhino-zhulebino/;Район;"Натяжные потолки в районе Выхино-Жулебино";"натяжные потолки в районе Выхино-Жулебино";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/kapotnya/;Район;"Натяжные потолки в районе Капотня";"натяжные потолки в районе Капотня";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/kuzminki/;Район;"Натяжные потолки в районе Кузьминки";"натяжные потолки в районе Кузьминки";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/lefortovo/;Район;"Натяжные потолки в районе Лефортово";"натяжные потолки в районе Лефортово";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/lyublino/;Район;"Натяжные потолки в районе Люблино";"натяжные потолки в районе Люблино";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
/moskva/rajony/marino/;Район;"Натяжные потолки в районе Марьино";"натяжные потолки в районе Марьино";yuvao;нет;draft;2;geo;"требует наполнения: вступление короче 180 символов, вступление выглядит шаблонным (текст-заглушка), меньше 2 локальных вопросов, меньше 2 фактов о застройке"
